"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21732.8583148108","23099.940085342","23889.0450178625","24575.6606596427","25791.0431790959","26254.7428037675","26004.4956276389","27240.8027892808","27412.7551930748","27765.6532576026","30245.7069739274","31920.2390732318","31888.5087369598","32507.0843148328","35059.2730975712","35098.7976691425","35937.594655647","37768.5660142352","38904.9992484644","34339.9391559529","33729.5119105028","35324.0720643325","34095.6471714416","35901.6459605583","35657.287197053","35972.8596619304","36117.5352619835","37524.9149203557","39287.0597126122","38543.9072936041","28854.5972997864","35104.7868035374","41758.8957566544","46574.3574197653","50649.3015232212","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1851.17255092252","1866.16350517787","1820.06281841226","1807.24978546767","1832.16320524834","1903.82653927733","1994.83106417251","2063.25770721519","2071.87446817551","2103.97682210865","2167.02257668556","2238.45481735331","2299.25559694994","2353.97241620152","2486.0910302572","2649.49823401168","2835.8450154753","3023.75513209202","3132.53595885309","3095.10850412576","3210.34823169602","3320.03324719839","3244.66434472389","3373.82379296601","3514.32215280343","3539.81550607078","3634.44167346493","3837.7263749346","3723.21642264024","3801.41318342956","3708.09464929946","4028.37650387745","4369.19105632365","4501.6011005616","4635.7882240455","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","813.550255989624","747.688045492413","926.507941011646","966.962032055781","971.633503046666","1076.08735260871","1121.83447077749","1286.94984312675","1333.74726661897","1570.69814517949","1765.53802830615","1744.06062321558","1988.42930381554","2133.24127098647","2224.49074815215","2284.07584789349","2213.1814410479","2335.79586234454","2432.27670083336","2583.48533239877","2561.98176058622","2144.16657002819","2122.99581512663","2201.72290691677","","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2128.81226026284","2167.9197755451","2213.87616151952","2177.1097934626","2158.47011073318","2180.44093421954","2259.8409562788","2331.20877517248","2373.91313859397","2377.36721386052","2457.44511081693","2575.01701115577","2807.40633077209","2948.09519105211","3184.34532967062","3380.21919361137","3569.23524015664","3762.1198490225","3963.39403660372","4122.85297128482","4346.83363286366","4531.80294651238","4661.17527587174","4861.15062207875","5114.6922102121","5056.73943872822","4965.33022911623","5026.648499102","5179.3599900769","5484.24941762408","5414.04254032674","5690.96774324307","6220.12287462026","6520.28031254058","6815.99096115117","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3704.86317724923","3740.35083482761","3486.20686711865","2627.58810059137","2632.88819939076","2989.761380067","3341.9118881012","3525.08342955598","3609.09297822035","3618.77608190863","3689.53780847244","3801.63313374818","4241.2915015658","4322.19773214742","4770.68802563462","5415.61212018099","6017.8181625251","6727.96328856831","7315.60233056666","7227.56364237588","7411.65460883624","7537.59656403345","8246.36081151609","8504.09532072053","9017.69018162269","8067.48584683018","7766.83787525546","8006.83661497696","8278.36886170469","8572.87895610671","7827.42804325818","8862.28133314521","9588.24129511188","9753.60046763783","10118.6089945408","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2655.67313273989","1988.64061135552","1899.25886914895","2143.17607432673","2385.27957998377","2776.82881449807","3054.03520620926","2760.06536374301","3085.7858936517","3549.2725597965","3977.77186916171","4450.51418504094","4840.33200843758","5169.18875806327","5594.79162347874","6014.31696992585","6752.90148641683","7584.68922249536","8469.24537549543","9030.60955535693","9754.84278665039","10273.4199783271","10608.8448172721","10882.026128835","11787.8549638025","12386.592266883","13055.8417473139","14110.683242211","15055.2807998752","16442.1259393239","16287.6097663649","18212.8702466686","22138.4182857345","24822.3543089995","26701.6749563776","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24908.8709437846","24510.2460817667","23816.8404713631","22958.3257814685","23509.4599838307","24934.3827742245","26541.5814456738","29121.6037066069","30072.7272723068","31589.958242948","33458.1181625074","36895.4402454079","38787.0522534918","41147.8806955474","42717.2377735456","44577.8193343081","46852.6583902384","47501.4309292019","44838.9949992176","42522.9945639501","43853.1712385354","46436.1158596161","45503.0444832658","45609.2307224247","48505.6017361608","50733.2390011704","53110.1426263211","53084.8639640903","55244.6554088177","57475.0692842215","52095.8414004627","59332.2029100127","68470.0759483848","71730.668682165","74939.4746038578","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6807.83713617277","7124.66866344519","7553.16320399828","7757.27050885834","7938.51841293627","8105.22032810333","8435.50449974721","8829.1277476679","9164.98770493107","9355.44185581738","9944.4866874833","10137.3932487327","10152.49384766","10468.0178109764","11487.5173343695","12202.834732239","13018.8571196732","13618.2792910057","14288.8477440664","14113.5560772557","14676.7818598908","15244.9957950165","16106.5306414277","16033.8598762832","15817.0827660384","14332.866212073","13860.6633153292","14473.336384684","15558.1307966245","15746.0048842039","14309.3928069443","16026.6357038322","17956.1315624334","18488.7415611006","18870.3148110507","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88455.0784304645","87250.1807691177","87509.0434921899","86330.1994246338","89958.9595580333","93702.3667511098","94619.5987985934","96008.8725990105","90229.3083926554","87657.9495166478","92899.3674985796","90370.2541183751","88466.5816176093","92635.9226901803","98661.4370562637","101301.412339163","106814.053640356","100813.188228929","94628.2666607538","84780.3209706517","85120.1974687752","89665.4018921986","89198.0119017025","87526.3254797061","87477.7341963514","73986.0636395945","69986.9835675887","70281.8889504211","77446.2269929923","79816.3010904406","66790.6822664754","68580.1485423483","75071.6586300351","77955.2951760879","79228.738801276","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7158.30849157078","7960.97844018808","8667.85280386599","9472.445099428","10103.0297415979","9890.92470924836","10495.8392452531","11403.4807926041","11835.6769869109","11463.8533083263","11499.9828002518","11117.754923787","9953.46492880857","10933.3925491594","12117.6797423098","13464.8128470561","14843.5778659642","16455.1129801674","17276.7570886806","16182.0753477677","17847.6110373178","19104.9909405228","19430.4178068112","19928.989490167","19487.4181748868","19899.1499275245","20105.761359796","23385.0740904917","24410.3919063335","23516.8261980886","22393.3479575353","26300.274261175","29808.8073468007","30221.4976888753","30431.1931223693","",
